Date,Person,Count,Denomination,Currency,Amount (Derived),Note
2019-04-16,Dad,1,0.05,USD,,
2019-04-17,Zach,1,0.01,USD,,
2019-04-20,Zach,1,0.25,USD,,
2019-04-24,Zach,1,0.01,USD,,
2019-04-25,Zach,1,0.01,USD,,
2019-04-26,Dad,1,0.01,USD,,
2019-04-28,Zach,2,0.01,USD,,
2019-04-30,Zach,1,0.01,USD,,
2019-04-30,Zach,1,0.01,USD,,
2019-05-02,Zach,1,0.01,USD,,
2019-05-06,Zach,1,0.10,USD,,
2019-05-07,Zach,1,0.01,USD,,
2019-05-08,Noah,1,0.01,USD,,
2019-05-09,Zach,1,0.01,USD,,
2019-05-09,Zach,1,0.05,USD,,
2019-05-10,Zach,1,0.01,USD,,
2019-05-11,Zach,1,0.01,USD,,
2019-05-12,Dad,1,0.01,USD,,Unlabelled
2019-05-16,Zach,1,0.01,USD,,
2019-05-17,Dad,1,0.01,USD,,
2019-05-19,Zach,1,0.10,USD,,
2019-05-20,Noah,1,0.01,USD,,
2019-05-21,Zach,1,0.01,USD,,
2019-05-22,Zach,1,0.01,USD,,
2019-05-23,Zach,1,0.01,USD,,
2019-05-23,Zach,1,0.01,USD,,
2019-05-24,Zach,1,0.01,USD,,
2019-05-24,Zach,1,0.01,USD,,
2019-05-27,Zach,1,0.01,USD,,
2019-05-28,Zach,1,0.01,USD,,
2019-05-29,Zach,1,0.01,USD,,
2019-05-29,Zach,1,0.01,USD,,
2019-05-30,Zach,1,0.01,USD,,
2019-05-30,Zach,1,0.01,USD,,
2019-06-02,Zach,1,0.01,USD,,
2019-06-02,Zach,1,0.01,USD,,
2019-06-04,Zach,1,0.01,USD,,
2019-06-05,Zach,1,0.01,USD,,
2019-06-06,Zach,1,0.01,USD,,
2019-06-10,Mom,1,0.01,USD,,
2019-06-12,Zach,1,0.01,USD,,
2019-06-14,Zach,1,0.01,USD,,
2019-06-14,Zach,1,0.10,USD,,
2019-06-23,Zach,1,0.01,USD,,
2019-06-29,Mom,1,0.01,USD,,Dad repeated the same picture? Attributing to mom
2019-06-29,Mom,1,0.25,USD,,Dad repeated the same picture? Attributing to mom
2019-06-29,Zach,1,0.01,USD,,
2019-07-02,Zach,1,0.10,USD,,
2019-07-02,Zach,1,0.01,USD,,
2019-07-05,Zach,1,0.05,USD,,Discolored nickel
2019-07-13,Noah,2,0.01,USD,,Hawaii pennies
2019-07-15,Mom,1,0.10,USD,,
2019-07-20,Mom,1,0.10,EUR,,"Noah called it a dime, pretty sure it's euros"
2019-07-20,Mom,2,0.01,USD,,
2019-07-20,Dad,1,0.01,USD,,
2019-07-27,Mom,1,0.01,USD,,Unlabelled
2019-07-30,Dad,1,0.01,USD,,
2019-07-30,Zach,1,0.01,USD,,
2019-08-02,Mom,1,0.01,USD,,Unlabelled
2019-08-02,Noah,1,0.01,USD,,
2019-08-03,Zach,1,0.01,USD,,
2019-08-05,Zach,1,0.01,USD,,
2019-08-08,Zach,1,0.01,USD,,
2019-08-13,Mom,1,0.01,USD,,
2019-08-17,Zach,1,0.01,USD,,
2019-08-19,Dad,1,0.25,USD,,Unlabelled
2019-08-24,Zach,1,0.10,USD,,
2019-08-24,Zach,1,0.01,USD,,
2019-08-27,Zach,1,0.01,USD,,
2019-08-28,Zach,1,0.01,USD,,
2019-09-06,Dad,1,0.01,USD,,
2019-09-15,Zach,1,0.01,USD,,
2019-09-17,Zach,1,0.01,USD,,
2019-09-20,Zach,1,0.01,USD,,
2019-09-21,Zach,1,0.01,USD,,
2019-09-21,Zach,1,0.05,USD,,
2019-09-22,Zach,1,0.01,USD,,
2019-09-23,Dad,1,0.01,USD,,
2019-09-24,Dad,1,0.05,USD,,
2019-09-24,Zach,1,0.01,USD,,
2019-09-27,Zach,1,0.01,USD,,
2019-09-29,Zach,1,0.10,USD,,
2019-09-29,Zach,1,0.10,USD,,
2019-09-29,Zach,1,0.01,USD,,
2019-09-30,Zach,1,0.01,USD,,
2019-10-01,Dad,1,0.10,USD,,
2019-10-03,Dad,1,0.01,USD,,
2019-10-08,Zach,1,0.01,USD,,
2019-10-14,Zach,1,0.01,USD,,
2019-10-16,Zach,1,0.01,USD,,
2019-10-16,Noah,2,0.01,USD,,
2019-10-18,Zach,1,0.01,USD,,
2019-10-22,Zach,1,0.01,USD,,
2019-10-22,Zach,1,0.01,USD,,
2019-10-23,Dad,1,0.01,USD,,
2019-10-26,Dad,1,0.01,USD,,
2019-10-28,Zach,1,0.10,USD,,
2019-10-29,Zach,1,0.05,USD,,
2019-10-30,Zach,1,0.01,USD,,
2019-10-31,Zach,1,0.01,USD,,
2019-11-11,Dad,1,0.10,USD,,
2019-11-11,Zach,1,0.01,USD,,
2019-11-12,Zach,1,0.01,USD,,
2019-11-12,Zach,1,0.01,USD,,
2019-11-13,Zach,1,0.01,USD,,
2019-11-17,Zach,1,0.01,USD,,
2019-11-17,Zach,1,0.01,USD,,
2019-11-22,Zach,1,0.01,USD,,
2019-11-22,Zach,1,0.01,USD,,
2019-11-22,Zach,1,0.01,USD,,
2019-11-24,Zach,1,0.01,USD,,
2019-11-25,Zach,1,0.01,USD,,
2019-11-25,Zach,1,0.01,USD,,
2019-11-26,Dad,1,0.01,USD,,
2019-12-01,Zach,1,0.10,USD,,
2019-12-03,Zach,1,0.10,USD,,
2019-12-04,Zach,1,0.01,USD,,
2019-12-04,Zach,1,0.01,USD,,
2019-12-05,Noah,1,0.01,USD,,
2019-12-05,Zach,1,0.01,USD,,
2019-12-06,Zach,1,0.01,USD,,
2019-12-07,Zach,1,0.01,USD,,
2019-12-08,Dad,1,0.01,USD,,
2019-12-11,Dad,1,0.05,USD,,"Blurry, unlabelled"
2019-12-14,Zach,1,0.01,USD,,Posted a day late
2019-12-15,Zach,1,0.01,USD,,
2019-12-15,Zach,1,0.01,USD,,
2019-12-15,Zach,1,0.01,USD,,
